ID_LOC	SAMPLING_DATE	SAMPLING_TIME	SITE	SITE_PLOT	SPECIES	TREE	TREE_LEAF	TREE_LEAF_AGE	LEAFTRAIT_LAB	CHL_PROSPECT	CAR_PROSPECT	ANT_PROSPECT	EWT_PROSPECT	EWT_LAB	LMA_PROSPECT	LMA_LAB	PROT_PROSPECT	CBC_PROSPECT
PSL_10_QI_D5	20210512	12:05:11	PSL	10	QI	D5	L4	Y	TETIS	16.3	6.2	1.084075105	0.0173	0.018815651	0.0085	0.0076	0.00219	0.00694
PSL_10_QI_D5	20210512	12:05:30	PSL	10	QI	D5	L5	Y	TETIS	16.6	6.3	1.061842723	0.0177	0.020442568	0.008	0.0072	0.00009	0.00539
PSL_10_QI_D5	20210512	12:05:48	PSL	10	QI	D5	L6	Y	TETIS	14.7	5.9	0.89267116	0.0174	0.019010174	0.0089	0.0074	0.00076	0.00765
PSL_7_QP_D1	20210512	13:57:32	PSL	7	QP	D1	L1	NA	TETIS	30.5	10.5	1.832683025	0.0089	0.010487311	0.0073	0.0081	0.00054	0.00595
PSL_7_QP_D1	20210512	13:57:43	PSL	7	QP	D1	L2	NA	TETIS	32.8	10	1.910985757	0.0094	0.010359808	0.0074	0.0081	0.00029	0.00672
PSL_7_QP_D1	20210512	13:57:56	PSL	7	QP	D1	L3	NA	TETIS	32.1	9.6	1.774779126	0.0087	0.009938342	0.0064	0.0072	0.00011	0.00536
PSL_7_QP_D1	20210512	13:58:04	PSL	7	QP	D1	L4	NA	TETIS	33.6	10.3	2.022995414	0.0095	0.010451175	0.0079	0.0078	0.00048	0.00647
PSL_8_QP_D2	20210512	NA	PSL	8	QP	D2	L1	NA	TETIS	20.9	8.6	1.193355708	0.0096	0.01061033	0.0086	0.0089	0.00047	0.00712
PSL_8_QP_D2	20210512	NA	PSL	8	QP	D2	L2	NA	TETIS	25	8.9	1.62554931	0.0101	0.011105478	0.0102	0.0095	0	0.00805
PSL_8_QP_D2	20210512	NA	PSL	8	QP	D2	L3	NA	TETIS	24	9.4	1.496500364	0.0104	0.011211582	0.0117	0.0098	0.0014	0.00815
PSL_8_QP_D2	20210512	NA	PSL	8	QP	D2	L4	NA	TETIS	21.4	7.9	1.166240175	0.0076	0.008806574	0.0072	0.0077	0.00041	0.00615
PSL_8_QP_D3	20210512	NA	PSL	8	QP	D3	L1	NA	TETIS	31.2	8.5	1.837168267	0.01	0.011992888	0.0103	0.0104	0.00097	0.00776
PSL_8_QP_D3	20210512	NA	PSL	8	QP	D3	L2	NA	TETIS	32.7	9.2	1.842711743	0.0104	0.011742098	0.0103	0.0099	0.00047	0.00774
PSL_8_QP_D3	20210512	NA	PSL	8	QP	D3	L3	NA	TETIS	28.2	8.5	1.722326663	0.0097	0.011267159	0.0086	0.0089	0	0.00812
PSL_8_QP_D3	20210512	NA	PSL	8	QP	D3	L4	NA	TETIS	27.3	8.6	1.72410226	0.0103	0.01202504	0.0112	0.0105	0.001	0.00938
PSL_7_QP_D4	20210512	14:20:34	PSL	7	QP	D4	L1	NA	TETIS	21.8	8.3	1.304793465	0.0103	0.01188901	0.0082	0.0088	0.00027	0.00758
PSL_7_QP_D4	20210512	14:20:40	PSL	7	QP	D4	L2	NA	TETIS	21.2	7.2	1.305103874	0.0092	0.010180864	0.0067	0.0068	0.00056	0.00493
PSL_7_QP_D4	20210512	14:20:45	PSL	7	QP	D4	L3	NA	TETIS	21.6	7.6	1.262716516	0.0094	0.010822536	0.0067	0.0077	0.00037	0.00513
PSL_7_QP_D4	20210512	14:20:51	PSL	7	QP	D4	L4	NA	TETIS	24	7.2	1.678901626	0.0072	0.008463001	0.0052	0.0054	0.00028	0.00359
PSL_7_QP_D5	20210512	14:26:19	PSL	7	QP	D5	L1	NA	TETIS	35.3	9.8	2.144375245	0.0112	0.011966094	0.0084	0.0084	0.00008	0.00751
PSL_7_QP_D5	20210512	14:26:26	PSL	7	QP	D5	L2	NA	TETIS	28	8.7	1.734716859	0.0097	0.010295949	0.0078	0.0073	0.00059	0.00601
PSL_7_QP_D5	20210512	14:26:32	PSL	7	QP	D5	L3	NA	TETIS	27.4	8.8	1.811756254	0.009	0.010286125	0.0068	0.0067	0.0004	0.00514
PSL_7_QP_D5	20210512	14:26:36	PSL	7	QP	D5	L4	NA	TETIS	31.2	9.8	1.832197096	0.0105	0.01218223	0.0087	0.0091	0.00103	0.00657
PSL_8_QP_D6	20210512	14:38:53	PSL	8	QP	D6	L1	NA	TETIS	29.4	9.5	1.621693609	0.0093	0.010109286	0.0087	0.0084	0.00136	0.00608
PSL_8_QP_D6	20210512	14:38:58	PSL	8	QP	D6	L2	NA	TETIS	30.1	10	1.644763956	0.0098	0.01061033	0.0094	0.0088	0.0014	0.00765
PSL_8_QP_D6	20210512	14:39:06	PSL	8	QP	D6	L3	NA	TETIS	34.1	9.7	2.010306718	0.0101	0.011176214	0.0102	0.0091	0.00059	0.00822
PSL_8_QP_D6	20210512	14:39:16	PSL	8	QP	D6	L4	NA	TETIS	33	10	1.731686255	0.0097	0.010999375	0.0093	0.0086	0.00027	0.00785
PSL_8_QP_D7	20210512	14:43:39	PSL	8	QP	D7	L1	NA	TETIS	32.9	10.4	1.953943984	0.0102	0.011848201	0.0089	0.0091	0.00126	0.0074
PSL_8_QP_D7	20210512	14:43:43	PSL	8	QP	D7	L2	NA	TETIS	33.5	10.9	1.999470671	0.01	0.011246949	0.0097	0.0094	0.00154	0.00835
PSL_8_QP_D7	20210512	14:43:46	PSL	8	QP	D7	L3	NA	TETIS	39	10.6	2.403892488	0.0104	0.01170673	0.0101	0.0097	0.00034	0.00759
PSL_8_QP_D7	20210512	14:43:49	PSL	8	QP	D7	L4	NA	TETIS	33.8	10.6	2.211823119	0.0094	0.01107011	0.0095	0.0094	0.00074	0.00747
PSL_8_QP_D8	20210512	14:48:59	PSL	8	QP	D8	L1	NA	TETIS	29.5	9.1	1.877171433	0.0096	0.01138842	0.0093	0.0081	0.0012	0.00647
PSL_8_QP_D8	20210512	14:49:02	PSL	8	QP	D8	L2	NA	TETIS	26.4	9	1.332121114	0.0091	0.00997371	0.0076	0.0073	0.00064	0.00592
PSL_8_QP_D8	20210512	14:49:06	PSL	8	QP	D8	L3	NA	TETIS	24.8	9.1	1.303294065	0.01	0.012201879	0.0081	0.0086	0.00085	0.0059
PSL_8_QP_D8	20210512	14:49:12	PSL	8	QP	D8	L4	NA	TETIS	27.4	8.3	1.485615069	0.0089	0.010044445	0.0066	0.0064	0.00043	0.00569
PUE_CP1_QI_0290	20210609	09:35:00	PUE	CP1	QI	290	L1	Y	TETIS	18	7.2	1.442571063	NA	NA	NA	NA	0.00293	0.01167
PUE_CP1_QI_0290	20210609	09:35:00	PUE	CP1	QI	290	L2	Y	TETIS	20.7	7.5	1.84359702	0.0148	0.023554932	0.0241	0.0139	0.00297	0.01155
PUE_CP1_QI_0290	20210609	09:35:00	PUE	CP1	QI	290	L3	O	TETIS	57.6	13.7	4.01091939	0.0141	0.012328192	0.0224	0.021	0.00148	0.02089
PUE_CP1_QI_0290	20210609	09:35:00	PUE	CP1	QI	290	L4	O	TETIS	62.4	12.7	3.427979201	0.0153	0.014217842	0.0259	0.0225	0.00268	0.02084
PUE_CP1_QI_0452	20210609	NA	PUE	CP1	QI	452	L1	Y	TETIS	17.3	6.7	1.16427089	NA	NA	NA	NA	0.00034	0.01339
PUE_CP1_QI_0452	20210609	NA	PUE	CP1	QI	452	L2	Y	TETIS	16.8	7.1	1.366942571	0.0124	0.017754618	0.0146	0.0115	0.00088	0.0085
PUE_CP1_QI_0452	20210609	NA	PUE	CP1	QI	452	L3	O	TETIS	57.5	12.9	2.471606819	0.0121	0.011034743	0.0198	0.017	0.00134	0.01662
PUE_CP1_QI_0452	20210609	NA	PUE	CP1	QI	452	L4	O	TETIS	52.4	12.7	2.903822635	0.01	0.0091072	0.0152	0.0153	0.00038	0.01412
PUE_CP1_QI_0618	20210609	09:56:00	PUE	CP1	QI	618	L1	Y	TETIS	25.2	8.6	1.392005256	0.0194	0.019010174	0.0119	0.0102	0.00074	0.01234
PUE_CP1_QI_0618	20210609	09:56:00	PUE	CP1	QI	618	L3	Y	TETIS	44.4	10.7	3.794382972	0.0105	0.010155601	0.0159	0.0151	0.00132	0.01382
PUE_CP1_QI_0618	20210609	09:56:00	PUE	CP1	QI	618	L4	O	TETIS	48.2	10.7	3.290026237	0.0126	0.011822939	0.0181	0.0173	0.00067	0.01749
PUE_CP1_QI_0076	20210609	10:00:00	PUE	CP1	QI	76	L1	Y	TETIS	35.7	11.4	1.950741695	0.0211	0.020469094	0.0217	0.0202	0.00211	0.0179
